,word,word_cut
84,线路补偿器,线路n 补偿器n
85,机端,机端n
86,单机无穷大系统,单机n 无穷大i 系统n
87,下降,下降v
88,额定,额定b
89,变比,变比v
90,电压互感器,电压n 互感器n
91,下降率,下降v 率v
92,仿真分析,仿真d 分析vn
93,传递函数,传递函数n
94,框图,框图n
95,受端,受端n
96,失去同步,失去v 同步d
97,阻尼,阻尼n
98,摇摆,摇摆v
99,保护断路器,保护v 断路器n
100,导纳,导纳v
101,地刀,地刀n
102,电流互感器,电流n 互感器n
103,变电站自动化系统,变电站n 自动化l 系统n
104,当地用户界面,当地s 用户界面n
105,总控,总控j
106,均方根值有效值,均d 方根值n 有效值l
107,选择返校执行,选择v 返校v 执行v
108,分布式输入输出,分布式n 输入输出n
109,馈线远方终端,馈线n 远方s 终端n
110,地理信息系统,地理信息系统n
111,全球定位系统,全球定位系统n
112,管理信息系统,管理信息系统l
113,停电管理系统,停电v 管理系统n
114,远方终端,远方s 终端n
115,数据采集和监视控制,数据n 采集v 和c 监视v 控制v
116,自动抄表,自动vn 抄v 表v
117,控制室管理系统,控制室n 管理系统n
118,用户信息系统,用户n 信息系统n
119,配电管理系统,配电vn 管理系统n
120,配电自动化,配电vn 自动化l
121,需求侧管理,需求v 侧v 管理vn
122,能量管理系统,能量n 管理系统n
123,馈线自动化,馈线n 自动化l
124,标准的机组数据显示,标准n 的uj 机组n 数据n 显示v
125,负载电流百分比显示,负载v 电流n 百分比n 显示v
126,单相三相电压,单相n 三m 相电压v
127,每相电流,每zg 相电流n
128,千伏安,千伏安i
129,中线电流,中线n 电流n
130,频率,频率n
131,千瓦,千瓦m
132,千阀,千阀n
133,最高低电压及电流,最高a 低电压n 及c 电流n
134,输出千瓦兆瓦小时,输出v 千瓦m 兆瓦q 小时n
135,运行转速,运行v 转速v
136,机组运行正常,机组n 运行v 正常d
137,超速故障停机,超速v 故障n 停机n
138,低油压故障停机,低a 油压n 故障n 停机n
139,高水温故障停机,高a 水温n 故障n 停机n
140,起动失败停机,起动v 失败v 停机n
141,冷却水温度表,冷却水nr 温度表n
142,机油油压表,机油n 油压表n
143,电瓶电压表,电瓶n 电压表n
144,机组运行小时表,机组n 运行v 小时n 表v
145,怠速快速运行选择键,怠ag 速ng 快速d 运行v 选择键n
146,运行停机摇控启动选择键,运行v 停机n 摇控v 启动vn 选择键n
147,其它故障显示及输入,其它r 故障n 显示v 及c 输入v
148,行波,行波n
149,模糊神经网络,模糊a 神经网络n
150,模糊控制,模糊控制n
151,大容量发电机组,大容量n 发电机组n
152,输电距离,输电v 距离n
153,超高压输电线,超高压b 输电线n
154,投运,投运vn
155,行波保护,行波n 保护v
156,自适应控制方法,自p 适应控制n 方法n
157,行波信号,行波n 信号n
158,测量信号,测量vn 信号n
159,暂态分量,暂态n 分量n
160,非线性系统,非线性b 系统n
161,高精度,高精度n
162,自学习功能,自p 学习v 功能n
163,抗干扰能力,抗干扰能力nz
164,自适应系统,自p 适应v 系统n
165,行波继电器,行波n 继电器n
166,输电线路故障,输电v 线路n 故障n
167,仿真,仿真d
168,电位,电位n
169,短路故障,短路n 故障n
170,子系统,子系统n
171,大小相等方向相反,大小b 相等v 方向n 相反v
172,电压源,电压n 源ng
173,故障点,故障n 点m
174,等效于,等效于v
175,暂态行波,暂态n 行波n
176,附加系统,附加v 系统n
177,波形,波形n
178,工频,工频n
179,延迟变换,延迟v 变换v
180,减法运算,减法v 运算vn
181,相减运算,相减v 运算vn
182,求和器,求和v 器n
183,模糊规则,模糊a 规则n
184,参数值,参数值n
185,可靠动作,可靠v 动作n
186,等值波阻抗,等值n 波阻抗nz
187,附加网络,附加v 网络n
188,修改的,修改v 的uj
189,反传算法,反传vn 算法n
190,隶属函数,隶属v 函数n
191,模糊推理,模糊推理l
192,模糊推理矩阵,模糊推理l 矩阵n
193,采样周期,采样v 周期t
194,三角形隶属度函数,三角形n 隶属v 度zg 函数n
195,负荷状态,负荷n 状态n
196,区内故障,区内s 故障n
197,采样频率,采样v 频率n
198,全面地,全面n 地uv
199,误动作,误动作n
200,小波变换,小a 波j 变换v
201,神经元,神经元nz
202,谐波电流,谐波n 电流n
203,电力系统自动化,电力系统l 自动化l
204,继电保护,继电保护n
205,中国电力,中国ns 电力n
206,电力电子电路,电力n 电子电路n
207,电力电子电器,电力n 电子电器n
208,电力电子器件,电力n 电子器件n
209,电力电子学,电力n 电子学n
210,电力工程,电力工程n
211,电力生产技术,电力n 生产vn 技术n
212,电力生产优化管理,电力n 生产vn 优化vn 管理vn
213,电力拖动基础,电力n 拖动v 基础n
214,电力拖动控制系统,电力n 拖动v 控制系统l
215,电力系统电源最优化规划,电力系统l 电源n 最优化v 规划n
216,最优的,最优d 的uj
217,电力系统短路,电力系统l 短路n
218,电力系统分析,电力n 系统分析l
219,电力系统规划,电力系统l 规划n
220,电力系统过电压,电力系统l 过电压n
221,电力系统经济分析,电力系统l 经济n 分析vn
222,电力系统可靠性,电力n 系统可靠性n
223,电力系统可靠性分析,电力n 系统可靠性n 分析vn
224,电力系统无功补偿及应用,电力系统l 无功a 补偿vn 及c 应用v
225,电力系统谐波,电力系统l 谐波n
226,电力系统优化技术,电力n 系统优化n 技术n
227,电力系统优化设计,电力n 系统优化n 设计vn
228,电力系统远动,电力系统l 远动v
229,电力系统远动技术,电力系统l 远动v 技术n
230,电力系统运行,电力系统l 运行v
231,电力系统自动装置,电力系统l 自动装置n
232,电路测试技术,电路n 测试vn 技术n
233,电路测试技术基础,电路n 测试vn 技术n 基础n
234,振荡的,振荡v 的uj
235,发电机组,发电机组n
236,中断,中断ns
237,扰乱,扰乱v
238,启动,启动vn
239,转子,转子n
240,无穷大电,无穷大i 电n
241,等效电路,等效电路n
242,迭代方式,迭代v 方式n
243,模拟,模拟v
244,根本原因分析,根本原因n 分析vn
245,无源器件,无源n 器件n
246,整流器,整流器n
247,失真,失真v
248,有源滤波器,有源n 滤波器nz
249,视在功率,视在功率n
250,补偿配置,补偿vn 配置v
251,功耗,功耗n
252,基尔霍夫电流定律,基尔霍夫nrt 电流n 定律n
253,共振,共振n
254,包括,包括v
255,软启动,软启动l
256,无源功率因数,无源n 功率因数n
257,有源功率因数,有源n 功率因数n
258,纹波电流,纹波n 电流n
259,大功率,大功率n
260,谐波畸变,谐波n 畸变n
261,面包板,面包n 板ng
262,二极管,二极管n
263,稳态分析,稳态n 分析vn
264,叠加定理,叠加定理n
265,产生的电压,产生n 的uj 电压n
266,暂时的瞬态的,暂时d 的uj 瞬态n 的uj
267,感性负载,感性n 负载v
268,铭牌,铭牌n
269,待机备用,待机n 备用v
270,感应系数,感应v 系数n
271,电流源,电流n 源ng
272,理想电压源,理想n 电压n 源ng
273,想电流源,想v 电流n 源ng
274,伏安特性,伏安ns 特性n
275,电动势,电动势n
276,电位差,电位差n
277,焦耳,焦耳nr
278,电路,电路n
279,电路元件,电路n 元件n
280,电路模型,电路n 模型n
281,参考方向,参考v 方向n
282,参考电位,参考v 电位n
283,欧姆定律,欧姆定律nr
284,基尔霍夫定律,基尔霍夫nrt 定律n
285,基尔霍夫电压定律,基尔霍夫nrt 电压n 定律n
286,结点,结点n
287,回路,回路v
288,网孔,网孔n
289,支路电流法,支路n 电流n 法j
290,网孔电流法,网孔n 电流n 法j
291,结点电位法,结点n 电位n 法j
292,电源变换,电源n 变换v
293,叠加原理,叠加v 原理n
294,无源二端网络,无源n 二端网络n
295,有源二端网络,有源n 二端网络n
296,戴维宁定理,戴维宁nr 定理vn
297,诺顿定理,诺顿nrt 定理vn
298,开路断路,开路n 断路n
299,短路,短路n
300,开路电压,开路n 电压n
301,短路电流,短路n 电流n
302,直流电路,直流电n 路n
303,交流电路,交流电路n
304,正弦交流电路,正弦n 交流电路n
305,感抗,感抗v
306,容抗,容抗v
307,法拉,法拉ns
308,亨利,亨利nrt
309,复数阻抗,复数n 阻抗v
310,相位,相位v
311,初相位,初f 相位v
312,相位差,相位差l
313,相位领先,相位v 领先n
314,相位落后,相位v 落后a
315,倒相反相,倒v 相反v 相v
316,角频率,角频率n
317,相量,相v 量n
318,相量图,相量v 图n
319,功率因数补偿,功率因数n 补偿vn
320,串联谐振,串联ns 谐振n
321,并联谐振,并联ns 谐振n
322,谐振频率,谐振n 频率n
323,频率特性,频率特性n
324,幅频特性,幅频特性n
325,相频特性,相频特性l
326,截止频率,截止频率n
327,品质因数,品质因数n
328,通频带,通v 频带n
329,带宽,带宽v
330,一阶滤波器,一m 阶n 滤波器nz
331,二阶滤波器,二阶n 滤波器nz
332,低通滤波器,低通滤波器n
333,高通滤波器,高通nr 滤波器nz
334,带通滤波器,带通v 滤波器nz
335,带阻滤波器,带阻v 滤波器nz
336,转移函数,转移v 函数n
337,波特图,波特ns 图n
338,三相电路,三相n 电路n
339,三相电源,三相n 电源n
340,对称三相电源,对称v 三相n 电源n
341,对称三相负载,对称v 三相n 负载v
342,相电压,相电压v
343,相电流,相电流n
344,线电压,线电压n
345,三相三线制,三相n 三线m 制n
346,三相四线制,三相n 四线m 制n
347,三相功率,三相n 功率n
348,星形连接,星形n 连接v
349,三角形连接,三角形n 连接v
350,中线,中线n
351,暂态,暂态n
352,稳态,稳态n
353,暂态过程暂态响应,暂态过程n 暂态n 响应v
354,换路定理,换路nz 定理vn
355,一阶电路,一m 阶n 电路n
356,三要素法,三要素l 法j
357,时间常数,时间常数n
358,积分电路,积分电路n
359,微分电路,微分电路l
360,磁通,磁通n
361,磁路与变压器,磁路n 与p 变压器n
362,磁场,磁场n
363,磁路,磁路n
364,磁感应强度,磁感应n 强度n
365,磁通势,磁通n 势n
366,磁阻,磁阻n
367,直流电动机,直流电n 动机n
368,交流电动机,交流n 电动机n
369,异步电动机,异步电动l 机n
370,同步电动机,同步d 电动机n
371,三相异步电动机,三相n 异步电动l 机n
372,单相异步电动机,单相n 异步电动l 机n
373,旋转磁场,旋转磁场n
374,转差率,转差率n
375,起动,起动v
376,起动转矩,起动转矩n
377,额定电压,额定b 电压n
378,额定电流,额定电流n
379,额定功率,额定功率n
380,按钮,按钮n
381,熔断器,熔断器n
382,开关,开关v
383,行程开关,行程开关n
384,继电器,继电器n
385,接触器,接触器nz
386,常开动合触点,常d 开动v 合v 触点n
387,常闭动断触点,常闭动断l 触点n
388,时间继电器,时间n 继电器n
389,热继电器,热n 继电器n
390,中间继电器,中间f 继电器n
391,可编程控制器,可编程l 控制器n
392,语句表,语句n 表v
393,梯形图,梯形图n
394,本征半导体,本征n 半导体n
395,掺杂半导体,掺杂v 半导体n
396,型半导体,型k 半导体n
397,自由电子,自由电子l
398,载流子,载流子n
399,扩散,扩散v
400,漂移,漂移v
401,硅二极管,硅nz 二极管n
402,锗二极管,锗n 二极管n
403,阳极,阳极ns
404,阴极,阴极n
405,发光二极管,发光v 二极管n
406,光电二极管,光电j 二极管n
407,稳压二极管,稳压n 二极管n
408,晶体管三极管,晶体管n 三极管n
409,型晶体管,型k 晶体管n
410,发射极,发射极n
411,集电极,集电极n
412,基极,基极n
413,电流放大系数,电流n 放大系数l
414,场效应管,场效应管n
415,沟道,沟道v
416,结型场效应管,结型n 场效应管n
417,金属氧化物半导体,金属n 氧化物n 半导体n
418,耗尽型,耗尽v 型k
419,增强型,增强型n
420,源极,源ng 极d
421,栅极,栅极n
422,漏极,漏极n
423,跨导,跨导vn
424,夹断电压,夹断电压n
425,热敏电阻,热敏电阻n
426,开路,开路n
427,放大器,放大器l
428,正向偏置,正向d 偏置n
429,反向偏置,反向v 偏置n
430,静态工作点,静态n 工作vn 点m
431,电压放大倍数,电压n 放大v 倍数n
432,总的电压放大倍数,总b 的uj 电压n 放大v 倍数n
433,饱和,饱和a
434,截止,截止v
435,放大区,放大v 区n
436,饱和区,饱和a 区n
437,截止区,截止v 区n
438,饱和失真,饱和a 失真v
439,截止失真,截止v 失真v
440,零点漂移,零点n 漂移v
441,正反馈,正反馈v
442,负反馈,负反馈n
443,串联负反馈,串联ns 负反馈n
444,并联负反馈,并联ns 负反馈n
445,共射极放大器,共射极n 放大器l
446,射极跟随器,射极n 跟随v 器n
447,共源极放大器,共源n 极d 放大器l
448,共漏极放大器,共d 漏v 极d 放大器l
449,多级放大器,多级b 放大器l
450,阻容耦合放大器,阻容n 耦合vn 放大器l
451,直接耦合放大器,直接ad 耦合vn 放大器l
452,输入电阻,输入电阻l
453,输出电阻,输出电阻v
454,负载电阻,负载电阻n
455,动态电阻,动态n 电阻n
456,负载电流,负载v 电流n
457,旁路电容,旁路ns 电容n
458,耦合电容,耦合vn 电容n
459,直流通路,直d 流通vn 路n
460,交流通路,交流n 通路n
461,直流分量,直流n 分量n
462,交流分量,交流n 分量n
463,变阻器电位器,变阻器n 电位器n
464,电阻器,电阻器n
465,电阻值,电阻值n
466,电容量,电容量n
467,电感器线圈,电感器n 线圈n
468,电感量感应系数,电感n 量n 感应v 系数n
469,正弦电压,正弦n 电压n
470,差动放大器,差动n 放大器l
471,运算放大器,运算vn 放大器l
472,失调电压,失调电压v
473,失调电流,失调v 电流n
474,共模信号,共模n 信号n
475,差模信号,差模n 信号n
476,共模抑制比,共模n 抑制v 比p
477,波特沃斯滤波器,波特ns 沃斯nr 滤波器nz
478,切比雪夫滤波器,切v 比雪夫nr 滤波器nz
479,贝塞尔滤波器,贝塞尔nr 滤波器nz
480,上限截止频率,上限v 截止频率n
481,下限截止频率,下限v 截止频率n
482,中心频率,中心n 频率n
483,开环增益,开环ns 增益n
484,闭环增益,闭环vn 增益n
485,共模增益,共模n 增益n
486,输入阻抗,输入阻抗n
487,电压跟随器,电压n 跟随v 器n
488,单位增益带宽,单位n 增益n 带宽v
489,频率响应,频率响应n
490,频响特性曲线,频响n 特性n 曲线n
491,稳定性,稳定性n
492,比较器,比较d 器n
493,迟滞比较器,迟滞a 比较d 器n
494,阶跃输入电压,阶跃n 输入v 电压n
495,仪表放大器,仪表n 放大器l
496,隔离放大器,隔离v 放大器l
497,对数放大器,对数n 放大器l
498,反对数放大器,反对d 数n 放大器l
499,反馈通道,反馈v 通道v
500,反向漏电流,反向v 漏v 电流n
501,相移,相移v
502,锁相环,锁相环n
503,锁相环相位监测器,锁相环n 相位v 监测器n
504,和频,和c 频n
505,差频,差频n
506,振荡器,振荡器l
507,正弦波振荡器,正弦波n 振荡器l
508,三角波发生器,三角m 波j 发生器l
509,方波发生器,方波n 发生器l
510,幅度,幅度n
511,电平,电平n
512,饱和输出电平电压,饱和a 输出v 电平n 电压n
513,功率放大器,功率n 放大器l
514,交越失真,交越v 失真v
515,甲类功率放大器,甲类n 功率n 放大器l
516,乙类推挽功率放大器,乙类n 推挽i 功率n 放大器l
517,半波整流,半波整流i
518,全波整流,全波n 整流b
519,电感滤波器,电感n 滤波器nz
520,电容滤波器,电容n 滤波器nz
521,串联型稳压电源,串联ns 型k 稳压电源n
522,开关型稳压电源,开关v 型k 稳压电源n
523,集成稳压器,集成v 稳压器n
524,晶闸管及可控整流电路晶闸管,晶闸管n 及c 可控v 整流b 电路n 晶闸管n
525,单结晶体管,单结a 晶体管n
526,可控整流,可控v 整流b
527,可控硅,可控硅nz
528,峰点,峰点n
529,谷点,谷点n
530,控制角,控制v 角n
531,导通角,导通角n
532,门电路,门电路n
533,三态门,三态n 门n
534,与门,与p 门s
535,或门,或c 门n
536,非门,非h 门n
537,与非门,与非门l
538,或非门,或非门n
539,异或门,异或门d
540,反相器,反相器l
541,布尔代数,布尔代数nz
542,真值表,真值表n
543,卡诺图,卡诺图nr
544,逻辑函数,逻辑n 函数n
545,逻辑表达式,逻辑n 表达式n
546,组合逻辑电路,组合v 逻辑电路n
547,译码器,译码器n
548,编码器,编码器n
549,半加器,半加器n
550,全加器,全加器n
551,七段显示器,七段m 显示器n
552,时序逻辑电路,时序n 逻辑电路n
553,触发器,触发器n
554,主从型触发器,主从n 型k 触发器n
555,置位,置位n
556,复位,复位v
557,直接置位端,直接ad 置位n 端v
558,直接复位端,直接ad 复位v 端v
559,寄存器,寄存器n
560,移位寄存器,移位n 寄存器n
561,双向移位寄存器,双向n 移位n 寄存器n
562,计数器,计数器n
563,同步计数器,同步d 计数器n
564,异步计数器,异步d 计数器n
565,加法计数器,加法v 计数器n
566,减法计数器,减法v 计数器n
567,清除清,清除v 清t
568,时钟脉冲,时钟脉冲i
569,触发脉冲,触发v 脉冲n
570,上升沿,上升v 沿f
571,下降沿,下降v 沿f
572,时序图,时序n 图n
573,波形图,波形图nr
574,单稳态触发器,单稳态n 触发器n
575,双稳态触发器,双稳态n 触发器n
576,无稳态振荡器,无v 稳态n 振荡器l
577,晶体,晶体n
578,模拟信号,模拟信号n
579,数字信号,数字信号n
580,半导体存储器,半导体存储器n
581,只读存储器,只d 读存储器n
582,随机存取存储器,随机存取l 存储器n
583,可编程,可编程l
584,无功功率,无功功率b
585,无功电流,无功a 电流n
586,无刷直流电机,无刷v 直流电机n
587,永磁同步电机,永磁nz 同步电机n
588,异步电机,异步电机n
589,励磁电流,励磁n 电流n
590,电磁场,电磁场n
591,下降特性,下降v 特性n
592,电机学,电机学n
593,自动控制理论,自动控制n 理论n
594,微机原理,微机n 原理n
595,电工学,电工学n
596,电路原理,电路n 原理n
597,电力系统稳态分析,电力系统l 稳态n 分析vn
598,电力系统暂态分析,电力系统l 暂态n 分析vn
599,电力系统元件保护原理,电力系统l 元件n 保护v 原理n
600,电力系统内部过电压,电力系统l 内部f 过电压n
601,模拟电子技术基础,模拟v 电子n 技术n 基础n
602,数字电子技术,数字n 电子n 技术n
603,电路原理实验,电路n 原理n 实验vn
604,电气工程讲座,电气工程n 讲座n
605,电力电子基础,电力n 电子n 基础n
606,高电压工程,高a 电压n 工程n
607,电子专题实践,电子n 专题n 实践v
608,电气工程概论,电气工程n 概论n
609,电子电机集成系统,电子n 电机n 集成系统l
610,电力传动与控制,电力n 传动vn 与p 控制v
611,电力系统继电保护,电力系统l 继电保护n
612,感应式电机,感应式n 电机n
613,马蹄形磁铁,马n 蹄形磁铁n
614,涡流,涡流n
615,右手定则,右手定则n
616,左手定则,左手m 定则n
617,感应电动机,感应v 电动机n
618,绕组,绕组n
619,感生电流,感生电流n
620,时间相位,时间n 相位v
621,励磁电压,励磁n 电压n
622,叠片,叠片n
623,叠片铁芯,叠片n 铁芯n
624,短路环,短路n 环v
625,鼠笼,鼠笼n
626,转子铁芯,转子n 铁芯n
627,铸铝转子,铸v 铝n 转子n
628,青铜,青铜n
629,马力,马力n
630,散绕,散绕v
631,绝缘,绝缘n
632,交流环电动机,交流n 环v 电动机n
633,端环,端v 环n
634,合金,合金n
635,线圈绕组,线圈n 绕组n
636,模绕,模绕v
637,转分,转分v
638,电动机驱动,电动机n 驱动vn
639,发电,发电vn
640,标么值,标么值l
641,极限转矩,极限a 转矩n
642,起步阻力,起步d 阻力n
643,检修,检修vn
644,风动发电机,风动n 发电机n
645,转秒,转v 秒q
646,极数,极数n
647,转速力矩特性曲线,转速v 力矩n 特性n 曲线n
648,反向制动,反向v 制动v
649,同步转速,同步d 转速v
650,锁定转子转矩,锁定v 转子n 转矩n
651,满载转矩,满载v 转矩n
652,原动机,原动机n
653,涌流,涌流v
654,磁化电抗,磁化n 电抗vn
655,线与中性点间的,线n 与p 中性点n 间f 的uj
656,定子绕组,定子n 绕组n
657,漏磁电抗,漏v 磁电n 抗v
658,空载,空载v
659,满载,满载v
660,多相的,多相d 的uj
661,转子电阻,转子n 电阻n
662,漏磁通,漏磁通n
663,锁定转子,锁定v 转子n
664,斩波电路,斩波i 电路n
665,他励的,他r 励nr 的uj
666,复励,复励v
667,直流电机,直流电机n
668,速度调节,速度n 调节vn
669,并励,并励v
670,串励,串励v
671,电枢电路,电枢n 电路n
672,光纤,光纤n
673,局间的,局间n 的uj
674,波导,波导vn
675,波导管,波导管n
676,硅石,硅石n
677,二氧化硅,二氧化硅nz
678,后反馈放大,后f 反馈v 放大v
679,共轴的同轴的,共轴n 的uj 同轴n 的uj
680,高性能的,高性能n 的uj
681,载波,载波n
682,成熟的,成熟a 的uj
683,单边带,单边d 带v
684,结合电容,结合v 电容n
685,传导,传导n
686,传播,传播vn
687,调制器,调制器n
688,解调器,解调器nr
689,限波器,限v 波器n
690,分路器,分路n 器n
691,调幅,调幅n
692,移频键控,移频vn 键控b
693,调谐器,调谐器nz
694,入射的,入射v 的uj
695,二线制,二线m 制n
696,发电机电压,发电机n 电压n
697,直流发电机,直流n 发电机n
698,多相整流器,多相d 整流器n
699,增压,增压v
700,正向传递函数,正向d 传递函数n
701,误差信号,误差n 信号n
702,调节器,调节器n
703,稳定变压器,稳定a 变压器n
704,延时,延时ns
705,直轴瞬变时间常数,直轴瞬变l 时间常数n
706,瞬态响应,瞬态n 响应v
707,固体,固体a
708,算符演算,算符v 演算v
709,增益,增益n
710,极点,极点d
711,反馈信号,反馈v 信号n
712,动态响应,动态n 响应v
713,电压控制系统,电压n 控制系统l
714,失配,失配vn
715,误差检测器,误差n 检测器n
716,励磁系统,励磁n 系统n
717,晶体管,晶体管n
718,高增益,高增益nr
719,升压去磁,升压v 去v 磁n
720,反馈系统,反馈系统n
721,反馈回路,反馈v 回路v
722,自动电压调整器,自动vn 电压n 调整器n
723,基准电压,基准n 电压n
724,磁放大器,磁放大器nz
725,微场扩流发电机,微场n 扩流v 发电机n
726,自励的,自励v 的uj
727,限幅器,限幅器l
728,手动控制,手动n 控制v
729,方框图,方框图n
730,线性区,线性n 区n
731,稳定网络,稳定a 网络n
732,稳定器,稳定器n
733,气隙磁通,气隙n 磁通n
734,饱和效应,饱和a 效应n
735,饱和曲线,饱和a 曲线n
736,磁链,磁链n
737,并励磁场,并c 励磁n 场q
738,负载饱和曲线,负载v 饱和a 曲线n
739,气隙磁化线,气隙n 磁化n 线n
740,电路参数,电路n 参数n
741,电气设备,电气设备n
742,电能,电能n
743,原生电池,原生n 电池n
744,电能转换器,电能n 转换器l
745,导体,导体n
746,电热器,电热器n
747,时不变的,时n 不变v 的uj
748,自感,自感n
749,互感,互感n
750,电介质,电介质n
751,蓄电池,蓄电池n
752,相关词汇,相关v 词汇n
753,变压器饱和效应,变压器n 饱和a 效应n
754,避雷器,避雷器n
755,绝缘配合,绝缘n 配合v
756,周波变换器,周波nr 变换器l
757,重叠交叉,重叠v 交叉n
758,调试,调试vn
759,感应,感应v
760,鼠笼式异步电动机,鼠笼式n 异步电动l 机n
761,电压电流,电压n 电流n
762,母线变压器,母线n 变压器n
763,高压侧输电线,高压n 侧v 输电线n
764,稳定电压,稳定a 电压n
765,阻抗电压,阻抗v 电压n
766,序阻,序阻n
767,刀闸,刀闸n
768,闸刀开关,闸刀开关ns
769,隔离开关,隔离v 开关v
770,方向保护,方向n 保护v
771,距离保护,距离n 保护v
772,过流保护,过流n 保护v
773,高频保护,高频b 保护v
774,差动保护,差动n 保护v
775,转子接地保护,转子n 接地v 保护v
776,定子接地保护,定子n 接地v 保护v
777,过励磁保护,过ug 励磁n 保护v
778,后备保护,后备n 保护v
779,顺序跳闸,顺序n 跳闸v
780,死区,死v 区n
781,振荡,振荡v
782,可靠性,可靠性n
783,速动性,速动n 性n
784,选择性,选择性n
785,分段距离继电器,分段n 距离n 继电器n
786,闭锁,闭锁v
787,误动,误动v
788,相间故障,相间n 故障n
789,接地故障,接地v 故障n
790,穿越故障,穿越v 故障n
791,永久性故障,永久性nr 故障n
792,瞬时性故障,瞬时性l 故障n
793,过负荷,过ug 负荷n
794,触点多路式继电器,触点n 多路m 式k 继电器n
795,接地故障继电器,接地v 故障n 继电器n
796,重合闸,重合vn 闸n
797,零序保护,零序n 保护v
798,软压板,软a 压板n
799,硬压板,硬a 压板n
800,高阻,高a 阻v
801,二次谐波制动,二次m 谐波n 制动v
802,断线,断线n
803,二次回路,二次m 回路v
804,交流开关电路,交流n 开关电路l
805,交流方向过流继电器,交流n 方向n 过流n 继电器n
806,开关把手,开关v 把手v
807,断路器跳闸线圈,断路器n 跳闸v 线圈n
808,导电条,导电n 条n
809,母线电流变压器,母线n 电流n 变压器n
810,分段母线隔离开关,分段n 母线n 隔离v 开关v
811,母线室,母线n 室n
812,汇流条隔离室,汇流n 条n 隔离室n
813,母线槽,母线槽n
814,母线管道,母线n 管道n
815,总线插座,总线n 插座n
816,汇流线,汇流n 线n
817,母线绝缘器,母线n 绝缘n 器n
818,总线请求周期,总线n 请求v 周期t
819,母线电抗器,母线n 电抗器n
820,母线保护,母线n 保护v
821,集电环,集电环n
822,汇流母线,汇流n 母线n
823,分段电抗器,分段n 电抗器n
824,母线支架,母线n 支架n
825,总线结构,总线结构n
826,母线联络开关,母线n 联络n 开关v
827,母线箱,母线n 箱q
828,母线故障,母线n 故障n
829,母线绝缘子,母线n 绝缘子n
830,母线分段开关,母线n 分段n 开关v
831,电流衰减,电流n 衰减v
832,电流起动型漏电保护器,电流n 起动v 型k 漏电nz 保护器n
833,电流平衡式差动电流继电器,电流n 平衡a 式k 差动n 电流n 继电器n
834,差动平衡式电流继电器,差a 动平衡n 式电流n 继电器n
835,换流器,换流器nz
836,电流补偿式接地远距继电器,电流n 补偿vn 式k 接地v 远距n 继电器n
837,电流消耗,电流n 消耗n
838,线圈调节器,线圈n 调节器n
839,线圈,线圈n
840,线圈电流,线圈n 电流n
841,线圈端漏电抗,线圈n 端v 漏电nz 抗v
842,线圈电感,线圈n 电感n
843,电流互感器相角,电流n 互感器n 相角n
844,阻抗继电器,阻抗v 继电器n
845,电力变阻器,电力n 变阻器n
